,index,symbol,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l ticker
100,MELI_2,MELI,Inactive,2,12/14/2021,4/1/2022,3,0.12756299999999998,0.127563,-2.7755575615628914e-17,150.0,157.01,-7.009999999999991,1175.889281453086,1175.8895604524826,1230.84,7.009678509999992,-184.0908697399999
101,MITK_1,MITK,Inactive,1,7/26/2018,4/11/2022,4,10.585453000000001,10.585453,8.881784197001252e-16,155.97,162.57,-6.600000000000001,14.735584866325512,11.600320500360668,15.355610656435772,6.56325386000001,6.56325386000001
102,MKL_1,MKL,Inactive,1,12/17/2021,3/22/2022,3,0.060689999999999994,0.06069,-6.938893903907228e-18,75.0,88.72,-13.719999999999999,1235.7893234470262,1235.7884330202671,1461.86,13.720229359999976,13.720229359999976
103,MMAT_1,MMAT,Inactive,1,6/30/2021,7/1/2021,2,15.0,15.0,0.0,116.5,109.69,6.810000000000002,7.766666666666667,7.766666666666667,7.31,-6.850000000000005,-6.850000000000005
104,MNDY_1,MNDY,Inactive,1,10/26/2021,11/5/2021,3,0.3983920000000001,0.398392,5.551115123125783e-17,150.0,143.22,6.780000000000001,376.512742073134,376.5135846101327,359.5,-6.777740340000004,-6.777740340000004
105,MO_1,MO,Inactive,1,5/10/2021,9/9/2021,2,3.054646,3.054646,1.1102230246251565e-16,154.62,154.59,0.030000000000001137,50.61792353680263,50.64045582533635,50.61000000000001,-0.024203600000003204,-0.024203600000003204
106,MOS_1,MOS,Inactive,1,4/28/2022,4/29/2022,1,2.0,2.0,0.0,130.05,130.12,-0.06999999999999318,65.03,65.03,65.06,0.060000000000002274,0.060000000000002274
107,MQ_1,MQ,Inactive,1,12/20/2021,3/21/2022,2,4.285238,4.285238,-3.3306690738754696e-16,70.0,42.69,27.310000000000002,16.33654879845647,107.27883381597135,9.961825723565413,-27.317205560000005,-27.317205560000005
108,MRIN_1,MRIN,Inactive,1,6/29/2021,6/29/2021,2,2.0,2.0,0.0,24.67,31.1,-6.429999999999998,12.335,8.910000000000002,15.55,6.429999999999998,6.429999999999998
109,MRIN_2,MRIN,Inactive,2,7/1/2021,7/2/2021,1,3.831015,3.831015,-1.1102230246251565e-16,69.3,81.11,-11.809999999999999,18.09,6.786881103229185,21.17227810384454,11.808253649999997,18.238253649999994
110,MRVL_1,MRVL,Inactive,1,12/6/2021,4/12/2022,4,1.96605,1.96605,0.0,170.0,121.41,48.59,86.47021107296356,86.46779074794638,61.75,-48.60117098000002,-48.60117098000002
111,MTDR_1,MTDR,Inactive,1,3/25/2022,4/28/2022,2,3.692219,3.692219,1.1102230246251565e-16,205.9,182.65,23.250000000000007,55.76875117104376,84.17856198688565,49.46872306599364,-23.261083470000024,-23.261083470000024
112,MTTR_1,MTTR,Inactive,1,10/13/2021,11/1/2021,2,5.635482,5.635482,4.440892098500626e-16,114.6,128.23000000000002,-13.63000000000001,20.580517459953683,20.58996456508485,22.75725567041116,13.648111040000005,13.648111040000005
113,MTTR_2,MTTR,Inactive,2,11/24/2021,1/13/2022,8,8.702904,8.702904,-4.440892098500626e-16,250.0,168.11,81.89,28.725958383546462,78.79413456462304,19.318245613188427,-81.87442110000003,-68.22631006000003
