,symbol,stock,side,qty,cost basis,amount,fee,created date,date,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l_ticker,p&l ticker,p&l_line
805,MELI,MercadoLibre,sell,0.127563,1230.84,157.01,0.0,4/1/2022,4/1/2022,Inactive,2.0,12/14/2021,4/1/2022,3.0,0.12756299999999998,0.127563,-2.7755575615628914e-17,150.0,157.01,-7.009999999999991,1175.889281453086,1175.8895604524826,1230.84,7.009678509999992,,-184.0908697399999,7.009678509999992
806,NET,Cloudflare,sell,1.0,124.39,124.39,0.0,4/1/2022,4/1/2022,Active,2.0,11/22/2021,n/a,6.0,2.2415619999999996,2.0,0.2415619999999996,340.0,231.79000000000002,108.21,145.93507913191536,447.9595300585364,115.89500000000001,-72.9602998747363,,12.039530985263696,-21.545079131915358
807,NET,Cloudflare,sell,0.241562,124.36,30.04,0.0,4/1/2022,4/1/2022,Inactive,2.0,11/22/2021,4/1/2022,6.0,2.2415619999999996,2.241562,-3.885780586188048e-16,340.0,261.83000000000004,78.16999999999999,145.93507913191536,447.9595300585364,116.80723099338765,-78.17201914000003,,6.827811719999958,-5.211719265263738
808,SNOW,Snowflake,sell,0.588155,239.97,141.14,0.0,4/1/2022,4/1/2022,Inactive,1.0,5/25/2021,4/1/2022,4.0,0.588155,0.588155,0.0,180.0,141.14,38.860000000000014,306.0428271289031,306.04177470224687,239.97,-38.86106364000002,,-38.86106364000002,-38.86106364000002
809,F,Ford Motor,sell,4.897489,16.46,80.62,0.0,4/1/2022,4/1/2022,Inactive,2.0,12/6/2021,4/1/2022,4.0,4.897489,4.897489,0.0,100.0,80.62,19.379999999999995,20.419830298751055,20.41862676975895,16.46,-19.393225330000003,,-16.119025010000005,-19.393225330000003
810,SE,Sea Limited,buy,0.373747,133.78,50.0,0.0,4/4/2022,4/4/2022,Active,2.0,4/4/2022,n/a,1.0,0.373747,0.0,0.373747,50.0,0.0,50.0,133.78,133.78,0.0,0.0,,0.5983802699999927,0.0
811,AAPL,Apple,buy,0.564063,177.29,100.0,0.0,4/4/2022,4/4/2022,Active,1.0,2/2/2022,n/a,5.0,2.828363,0.0,2.828363,470.02,0.0,470.02,166.18261978748842,166.18093222121772,0.0,0.0,,0.0,0.0
812,SE,Sea Limited,buy,1.0,132.0,132.0,0.0,4/4/2022,4/4/2022,Active,2.0,4/4/2022,n/a,2.0,1.373747,0.0,1.373747,182.0,0.0,182.0,132.48427378549323,132.48436575293704,0.0,0.0,,0.5983802699999927,0.0
813,ACLS,Axcelis Technologies,sell,1.0,69.69,69.69,0.0,4/5/2022,4/5/2022,Inactive,1.0,3/28/2022,4/5/2022,1.0,1.0,1.0,0.0,79.45,69.69,9.760000000000005,79.45,79.45,69.69,-9.760000000000005,,-9.760000000000005,-9.760000000000005
814,SE,Sea Limited,buy,1.0,128.5,128.5,0.0,4/4/2022,4/5/2022,Active,2.0,4/4/2022,n/a,3.0,2.373747,0.0,2.373747,310.5,0.0,310.5,130.8057992953756,130.8058525192449,0.0,0.0,,0.5983802699999927,0.0
